ID,Basic data and indicators,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
4,Total arrivals,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
4,Overnights visitors (tourists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
4,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
4,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
8,Total arrivals,1/ 2/,VF,304,287,119,184,371,317,354,470,557,645,748,937,1127,1420,1856,2417,2932,3514,3256,3673,4131,4736,5118,5927,6406,2658,5689,7544
8,Overnights visitors (tourists),1/,TF,..,..,..,..,..,..,..,..,..,..,..,..,1062,1247,1711,2191,2469,3156,2857,3341,3784,4070,4643,5340,6128,2604,5515,7105
8,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,65,83,64,52,67,71,220,127,162,507,293,587,278,54,174,439
8,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
12,Total arrivals,1/,VF,520,605,635,678,749,866,901,988,1166,1234,1443,1638,1743,1772,1912,2070,2395,2634,2733,2301,1710,2039,2451,2657,2371,591,125,1398
12,Overnights visitors (tourists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
12,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
12,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
16,Total arrivals,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.3,41.3,50.2,49.3,51.6,47.1,38.3,42.3,51.8,58.6,..,..,..
16,Overnights visitors (tourists),,TF,34,35,26,36,41,44,36,..,..,..,24.5,25.3,24.1,24.3,23.5,23.1,22.6,22.6,20.8,21.6,20.3,20.1,20,20.2,19.2,0.9,..,..
16,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.2,18.7,27.6,28.5,30,26.8,18.2,22.3,31.6,39.4,..,..,..
16,of which cruise passengers,,,..,..,..,..,..,4,4.9,2.8,8.2,3.5,6.1,..,..,..,..,17.2,18.7,27.6,28.5,30,26.8,18.2,22.3,31.6,39.4,..,..,..
20,Total arrivals,,VF,..,..,..,..,9422,10991,11351,11507,11601,11668,11049,10737,10743,10194,9112,8551,7983,7900,7676,7797,7850,8025,8152,8328,8235,5207,5422,8427
20,Overnights visitors (tourists),,TF,..,..,..,..,2347,2949,3516,3387,3138,2791,2418,2227,2189,2059,1830,1808,2242,2238,2328,2363,2663,2819,3003,3042,3090,1872,1949,3555
20,Same-day visitors (excursionists),,,..,..,..,..,7075,8042,7835,8120,8463,8877,8631,8510,8554,8134,7282,6743,5741,5663,5348,5433,5187,5206,5149,5286,5145,3335,3473,4871
20,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
24,Total arrivals,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
24,Overnights visitors (tourists),,TF,9,21,45,52,45,51,67,91,107,194,210,121,195,294,366,425,481,528,650,595,592,397,261,218,218,64,64,130
24,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
24,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
660,Total arrivals,,VF,107,86,114,114,107,112,105,111,109,121,143,167,164,128,112,118,124,129,151,177,186,176,151,87,166,41,29,96
660,Overnights visitors (tourists),,TF,39,37,43,44,47,44,48,44,47,54,62,73,78,68,58,62,66,65,69,71,73,79,68,55,95,25,28,74
660,Same-day visitors (excursionists),,,68,49,71,70,60,68,57,67,62,67,81,94,86,60,54,56,58,64,82,106,113,97,82,33,71,16,0.3,21.7
660,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,6,5,6,4,1,2,2,2,3,3,6,7,3,3,4,6,1,..,..
28,Total arrivals,1/,VF,447,498,526,570,560,634,624,528,623,769,712,838,935,863,944,788,848,819,777,771,894,874,1040,1064,1035,276,250,642
28,Overnights visitors (tourists),2/,TF,220,228,240,234,232,207,215,218,239,246,245,254,262,266,234,230,241,247,243,249,250,265,247,269,301,125,169,265
28,Same-day visitors (excursionists),,,227,270,286,336,328,427,409,310,384,523,467,584,673,597,710,558,607,572,534,522,644,609,793,795,734,151,81,377
28,of which cruise passengers,,,227,270,286,336,328,427,409,310,384,523,467,584,673,597,710,558,607,572,534,522,644,609,793,795,734,151,81,377
32,Total arrivals,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9986,9964,10394,11131,3096,460,7503
32,Overnights visitors (tourists),,TF,2289,2614,2764,3012,2898,2909,2620,2820,2995,3457,3823,4173,4562,4700,4308,6800,6703,6497,6510,7165,6816,6668,6711,6942,7399,2090,297,3890
32,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3318,3253,3452,3732,1007,163,3613
32,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
51,Total arrivals,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
51,Overnights visitors (tourists),,TF,12,13,23,32,41,45,123,162,206,263,319,382,511,558,575,684,758,963,1084,1204,1192,1260,1495,1652,1894,375,870,1666
51,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
51,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
533,Total arrivals,,VF,912,957,947,906,972,1211,1178,1225,1184,1304,1286,1285,1254,1383,1420,1394,1469,1481,1667,1739,1832,1758,1863,1897,1951,623,943,1711
533,Overnights visitors (tourists),1/,TF,619,641,650,647,683,721,691,643,642,728,733,694,772,827,813,824,869,904,979,1072,1225,1102,1071,1082,1119,368,807,1101
533,Same-day visitors (excursionists),,,293,316,297,259,289,490,487,582,542,576,553,591,482,556,607,570,600,577,688,667,607,656,792,815,832,255,136,610
533,of which cruise passengers,,,293,316,297,259,289,490,487,582,542,576,553,591,482,556,607,570,600,577,688,667,607,656,792,815,832,255,136,610
36,Total arrivals,1/,VF,3726,4165,4318,4167,4459,4931,4856,4841,4746,5215,5499,5532,5644,5586,5490,5790,5771,6032,6482,6922,7449,8269,8815,9246,9466,1828,246,3694
36,Overnights visitors (tourists),2/,TF,..,..,..,3825,4109,4530,4435,4420,4354,4774,5020,5064,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
36,Same-day visitors (excursionists),,,..,..,..,342,34,37,41,43,30,23,26,35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
36,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
40,Total arrivals,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
40,Overnights visitors (tourists),1/,TCE,17173,17090,16647,17352,17467,17982,18180,18611,19078,19374,19952,20269,20773,21935,21355,22004,23012,24151,24813,25291,26728,28121,29460,30816,31884,15091,12728,26215
40,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
40,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
31,Total arrivals,,VF,93,210,306,483,602,681,767,834,1038,1279,1177,1194,1333,1899,1830,1963,2239,2484,2509,2298,2006,2249,2697,2850,3170,796,792,1602
31,Overnights visitors (tourists),,TF,..,..,..,..,..,..,..,576,768,989,693,682,732,1043,1005,1280,1562,1986,2130,2160,1922,2044,2454,2633,2876,587,..,1508
31,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,258,270,290,484,512,601,856,825,683,677,498,379,138,84,204,243,216,294,209,..,94
31,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
44,Total arrivals,,VF,3239,3416,3446,3348,3648,4204,4183,4406,4594,5004,4779,4731,4601,4394,4645,5255,5588,5940,6151,6320,6112,6265,6136,6622,7250,1795,2101,7001
44,Overnights visitors (tourists),,TF,1598,1633,1618,1528,1577,1544,1538,1513,1505,1561,1625,1613,1538,1469,1336,1378,1355,1431,1377,1444,1496,1499,1452,1633,1807,441,892,1452
44,Same-day visitors (excursionists),,,1640,1785,1828,1820,2071,2660,2645,2893,3089,3443,3154,3118,3063,2925,3309,3877,4233,4509,4774,4876,4616,4766,4684,4990,5444,1354,1209,5549
44,of which cruise passengers,,,1543,1686,1751,1730,1981,2513,2552,2802,2970,3360,3079,3079,2971,2861,3256,3810,4161,4434,4709,4805,4513,4690,4626,4878,5433,1327,1115,5390
48,Total arrivals,,VF,2311,1988,2600,2898,3280,3869,4388,4831,4844,5667,6313,7289,7833,8631,8861,11952,6732,8062,9163,10452,9670,10158,11374,12045,11061,1909,3612,9949
48,Overnights visitors (tourists),,TF,1396,1201,1611,1640,2019,2420,2789,3167,2955,3514,3914,4519,4935,..,..,..,..,..,..,..,3964,3990,4373,4366,3849,827,2182,3712
48,Same-day visitors (excursionists),,,915,787,989,1258,1261,1449,1599,1664,1889,2153,2399,2770,2898,..,..,..,..,..,..,..,5706,6168,7001,7678,7212,1082,1430,6237
48,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40,56,69,81,134,51,7,33
50,Total arrivals,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
